rowOrder;titleOrderInRow;positionScore
12;4;389.05926311709845
12;5;350.1533368053886
12;6;280.12266944431093
12;7;266.1165359720954
12;8;252.8107091734906
12;9;240.17017371481606
12;10;228.16166502907524
12;11;216.75358177762146
12;12;205.91590268874037
12;13;195.62010755430336
12;14;185.83910217658817
12;15;176.54714706775874
12;16;167.7197897143708
12;17;159.33380022865225
12;18;151.36711021721962
12;19;143.79875470635864
12;20;136.6088169710407
12;21;129.77837612248868
12;22;123.28945731636423
12;23;117.12498445054602
12;24;111.26873522801871
12;25;105.70529846661778
12;26;100.42003354328688
12;27;95.39903186612253
12;28;90.6290802728164
12;29;86.09762625917557
12;30;81.79274494621679
12;31;77.70310769890594
12;32;73.81795231396063
12;33;70.1270546982626
12;34;66.62070196334946
12;35;63.289666865181985
12;36;60.125183521922885
12;37;57.11892434582674
12;38;54.2629781285354
12;39;51.54982922210863
12;40;48.972337761003196
12;41;46.523720872953035
12;42;44.19753482930538
12;43;41.98765808784011
12;44;39.8882751834481
12;45;37.89386142427569
12;46;35.999168353061904
12;47;34.19920993540881
12;48;32.48924943863837
12;49;30.864786966706447
12;50;29.321547618371124
12;51;27.855470237452565
12;52;26.462696725579935
12;53;25.139561889300936
12;54;23.882583794835888
12;55;22.688454605094094
12;56;21.55403187483939
12;57;20.476330281097418
12;58;19.452513767042547
12;59;18.47988807869042
12;60;17.555893674755897
12;61;16.6780989910181
12;62;15.844194041467194
12;63;15.051984339393833
12;64;14.299385122424141
12;65;13.584415866302933
12;66;12.905195072987786
12;67;12.259935319338396
12;68;11.646938553371475
12;69;11.064591625702901
12;70;10.511362044417755
13;1;431.0905962516327
13;2;409.536066439051
13;3;389.05926311709845
13;4;369.6062999612435
13;5;332.64566996511917
13;6;266.11653597209533
13;7;252.81070917349055
13;8;240.170173714816
13;9;228.16166502907518
13;10;216.7535817776214
13;11;205.91590268874032
13;12;195.6201075543033
13;13;185.83910217658814
13;14;176.54714706775871
13;15;167.71978971437076
13;16;159.33380022865222
13;17;151.36711021721962
13;18;143.79875470635864
13;19;136.6088169710407
13;20;129.77837612248868
13;21;123.28945731636423
13;22;117.12498445054602
13;23;111.26873522801871
13;24;105.70529846661778
13;25;100.42003354328688
13;26;95.39903186612253
13;27;90.6290802728164
13;28;86.09762625917557
13;29;81.79274494621679
13;30;77.70310769890594
13;31;73.81795231396063
13;32;70.1270546982626
13;33;66.62070196334946
13;34;63.289666865181985
13;35;60.125183521922885
13;36;57.11892434582674
13;37;54.2629781285354
13;38;51.54982922210863
13;39;48.972337761003196
13;40;46.523720872953035
13;41;44.19753482930538
13;42;41.98765808784011
13;43;39.8882751834481
13;44;37.89386142427569
13;45;35.999168353061904
13;46;34.19920993540881
13;47;32.48924943863837
13;48;30.864786966706447
13;49;29.321547618371124
13;50;27.855470237452565
13;51;26.462696725579935
13;52;25.139561889300936
13;53;23.882583794835888
13;54;22.688454605094094
13;55;21.55403187483939
13;56;20.476330281097418
13;57;19.452513767042547
13;58;18.47988807869042
13;59;17.555893674755897
13;60;16.6780989910181
13;61;15.844194041467194
13;62;15.051984339393833
13;63;14.299385122424141
13;64;13.584415866302933
13;65;12.905195072987786
13;66;12.259935319338396
13;67;11.646938553371475
13;68;11.064591625702901
13;69;10.511362044417755
13;70;9.985793942196867
14;1;409.536066439051
14;2;389.05926311709845
14;3;369.6062999612435
14;4;351.12598496318134
14;5;316.0133864668632
14;6;252.81070917349058
14;7;240.17017371481603
14;8;228.1616650290752
14;9;216.75358177762143
14;10;205.91590268874035
14;11;195.62010755430333
14;12;185.83910217658814
14;13;176.54714706775871
14;14;167.71978971437076
14;15;159.33380022865222
14;16;151.36711021721962
14;17;143.79875470635864
14;18;136.6088169710407
14;19;129.77837612248868
14;20;123.28945731636423
14;21;117.12498445054602
14;22;111.26873522801871
14;23;105.70529846661778
14;24;100.42003354328688
14;25;95.39903186612253
14;26;90.6290802728164
14;27;86.09762625917557
14;28;81.79274494621679
14;29;77.70310769890594
14;30;73.81795231396063
